date,team1,team2,neutral,world_cup,rank_diff,score_diff,result
1987-05-22,New Zealand,Italy,0,1,11,64,1
1987-05-23,Australia,England,0,1,1,13,1
1987-05-23,France,Scotland,1,1,3,0,0
1987-05-25,Ireland,Wales,1,1,2,-7,-1
1987-05-28,Argentina,Italy,1,1,4,9,1
1987-06-01,New Zealand,Argentina,0,1,7,31,1
1987-06-06,New Zealand,Scotland,0,1,8,27,1
1987-06-07,Australia,Ireland,0,1,2,18,1
1987-06-08,England,Wales,1,1,3,-13,-1
1987-06-12,Australia,France,0,1,3,-6,-1
1987-06-14,New Zealand,Wales,1,1,6,43,1
1987-06-18,Australia,Wales,1,1,4,-1,-1
1987-06-20,New Zealand,France,0,1,5,20,1
1987-07-25,Australia,New Zealand,0,0,-2,-14,-1
1987-10-31,Argentina,Australia,0,0,-5,0,0
1987-11-07,Argentina,Australia,0,0,-5,8,1
1988-01-16,France,England,0,0,-2,1,1
1988-01-16,Ireland,Scotland,0,0,4,4,1
1988-02-06,England,Wales,0,0,3,-8,-1
1988-02-06,Scotland,France,0,0,-3,11,1
1988-02-20,Wales,Scotland,0,0,2,5,1
1988-02-20,France,Ireland,0,0,-1,19,1
1988-03-05,Scotland,England,0,0,-5,-3,-1
1988-03-05,Ireland,Wales,0,0,2,-3,-1
1988-03-19,England,Ireland,0,0,1,32,1
1988-03-19,Wales,France,0,0,-1,-1,-1
1988-04-23,Ireland,England,0,0,-1,-11,-1
1988-05-28,New Zealand,Wales,0,0,6,49,1
1988-05-29,Australia,England,0,0,1,6,1
1988-06-11,New Zealand,Wales,0,0,6,45,1
1988-06-12,Australia,England,0,0,1,20,1
1988-06-18,Argentina,France,0,0,-2,-3,-1
1988-06-25,Argentina,France,0,0,-2,12,1
1988-07-03,Australia,New Zealand,0,0,-2,-25,-1
1988-07-16,Australia,New Zealand,0,0,-2,0,0
1988-07-30,Australia,New Zealand,0,0,-2,-21,-1
1988-11-05,England,Australia,0,0,-1,9,1
1988-11-05,France,Argentina,0,0,2,20,1
1988-11-11,France,Argentina,0,0,2,10,1
1988-11-19,Scotland,Australia,0,0,-6,-19,-1
1988-12-03,Italy,Australia,0,0,-9,-49,-1
1988-12-31,Ireland,Italy,0,0,7,16,1
1989-01-21,Ireland,France,0,0,1,-5,-1
1989-01-21,Scotland,Wales,0,0,-2,16,1
1989-02-04,Wales,Ireland,0,0,-2,-6,-1
1989-02-04,England,Scotland,0,0,5,0,0
1989-02-18,Ireland,England,0,0,-1,-13,-1
1989-02-18,France,Wales,0,0,1,19,1
1989-03-04,Scotland,Ireland,0,0,-4,16,1
1989-03-04,England,France,0,0,2,11,1
1989-03-18,France,Scotland,0,0,3,16,1
1989-03-18,Wales,England,0,0,-3,3,1
1989-06-17,New Zealand,France,0,0,5,8,1
1989-06-24,Argentina,Italy,0,0,4,5,1
1989-07-01,New Zealand,France,0,0,5,14,1
1989-07-15,New Zealand,Argentina,0,0,7,51,1
1989-07-29,New Zealand,Argentina,0,0,7,37,1
1989-08-05,New Zealand,Australia,0,0,2,12,1
1989-11-04,Wales,New Zealand,0,0,-6,-25,-1
1989-11-04,France,Australia,0,0,-3,-17,-1
1989-11-11,France,Australia,0,0,-3,6,1
1989-11-18,Ireland,New Zealand,0,0,-4,-17,-1
1990-01-20,England,Ireland,0,0,1,23,1
1990-01-20,Wales,France,0,0,-1,-10,-1
1990-02-03,France,England,0,0,-2,-19,-1
1990-02-03,Ireland,Scotland,0,0,4,-3,-1
1990-02-17,Scotland,France,0,0,-3,21,1
1990-02-17,England,Wales,0,0,3,28,1
1990-03-03,France,Ireland,0,0,-1,19,1
1990-03-03,Wales,Scotland,0,0,2,-4,-1
1990-03-17,Scotland,England,0,0,-5,6,1
1990-03-24,Ireland,Wales,0,0,2,6,1
1990-06-09,Australia,France,0,0,3,12,1
1990-06-16,New Zealand,Scotland,0,0,8,15,1
1990-06-23,New Zealand,Scotland,0,0,8,3,1
1990-06-24,Australia,France,0,0,3,17,1
1990-06-30,Australia,France,0,0,3,-9,-1
1990-07-21,New Zealand,Australia,0,0,2,15,1
1990-07-28,Argentina,England,0,0,-4,-13,-1
1990-08-04,Argentina,England,0,0,-4,2,1
1990-08-04,New Zealand,Australia,0,0,2,10,1
1990-08-18,New Zealand,Australia,0,0,2,-12,-1
1990-10-27,Ireland,Argentina,0,0,3,2,1
1990-11-03,France,New Zealand,0,0,-5,-21,-1
1990-11-03,England,Argentina,0,0,4,51,1
1990-11-10,Scotland,Argentina,0,0,-1,46,1
1990-11-10,France,New Zealand,0,0,-5,-18,-1
1991-01-19,France,Scotland,0,0,3,6,1
1991-01-19,Wales,England,0,0,-3,-19,-1
1991-02-02,Scotland,Wales,0,0,-2,20,1
1991-02-02,Ireland,France,0,0,1,-8,-1
1991-02-16,England,Scotland,0,0,5,9,1
1991-02-16,Wales,Ireland,0,0,-2,0,0
1991-03-02,Ireland,England,0,0,-1,-9,-1
1991-03-02,France,Wales,0,0,1,33,1
1991-03-16,Scotland,Ireland,0,0,-4,3,1
1991-03-16,England,France,0,0,2,2,1
1991-07-06,Argentina,New Zealand,0,0,-7,-14,-1
1991-07-13,Argentina,New Zealand,0,0,-7,-30,-1
1991-07-22,Australia,Wales,0,0,4,57,1
1991-07-27,Australia,England,0,0,1,25,1
1991-08-10,Australia,New Zealand,0,0,-2,9,1
1991-08-24,New Zealand,Australia,0,0,2,3,1
1991-09-04,Wales,France,0,0,-1,-13,-1
1991-10-03,England,New Zealand,0,1,-3,-6,-1
1991-10-04,Scotland,Ireland,0,1,-4,9,1
1991-10-04,Australia,Argentina,1,1,5,13,1
1991-10-08,England,Italy,0,1,8,30,1
